2422.2s 82 [Epoch 84/150: batch 70/179] [DLoss: 0.008, GLoss: 9.820, cGanLoss: 6.206, L1Loss: 0.036]
2452.8s 83 [Epoch 84/150: batch 80/179] [DLoss: 0.006, GLoss: 10.279, cGanLoss: 6.703, L1Loss: 0.036]
2483.8s 84 [Epoch 84/150: batch 90/179] [DLoss: 0.001, GLoss: 11.101, cGanLoss: 7.381, L1Loss: 0.037]
2514.2s 85 [Epoch 84/150: batch 100/179] [DLoss: 0.010, GLoss: 11.592, cGanLoss: 7.615, L1Loss: 0.040]
2544.6s 86 [Epoch 84/150: batch 110/179] [DLoss: 0.081, GLoss: 14.251, cGanLoss: 10.512, L1Loss: 0.037]
2575.3s 87 [Epoch 84/150: batch 120/179] [DLoss: 0.036, GLoss: 11.849, cGanLoss: 8.254, L1Loss: 0.036]
2605.8s 88 [Epoch 84/150: batch 130/179] [DLoss: 0.040, GLoss: 12.767, cGanLoss: 8.668, L1Loss: 0.041]
2636.3s 89 [Epoch 84/150: batch 140/179] [DLoss: 0.001, GLoss: 13.145, cGanLoss: 9.500, L1Loss: 0.036]
2666.6s 90 [Epoch 84/150: batch 150/179] [DLoss: 0.009, GLoss: 14.144, cGanLoss: 10.283, L1Loss: 0.039]
2697.0s 91 [Epoch 84/150: batch 160/179] [DLoss: 0.006, GLoss: 10.091, cGanLoss: 6.610, L1Loss: 0.035]
2728.0s 92 [Epoch 84/150: batch 170/179] [DLoss: 0.004, GLoss: 13.129, cGanLoss: 9.423, L1Loss: 0.037]
2755.6s 93 [Epoch 85/150: batch 0/179] [DLoss: 0.012, GLoss: 10.101, cGanLoss: 6.268, L1Loss: 0.038]
2786.2s 94 [Epoch 85/150: batch 10/179] [DLoss: 0.127, GLoss: 11.256, cGanLoss: 7.777, L1Loss: 0.035]
2816.8s 95 [Epoch 85/150: batch 20/179] [DLoss: 0.008, GLoss: 12.287, cGanLoss: 8.517, L1Loss: 0.038]
2847.2s 96 [Epoch 85/150: batch 30/179] [DLoss: 0.101, GLoss: 10.209, cGanLoss: 6.632, L1Loss: 0.036]
2877.6s 97 [Epoch 85/150: batch 40/179] [DLoss: 0.001, GLoss: 12.821, cGanLoss: 9.147, L1Loss: 0.037]
2908.0s 98 [Epoch 85/150: batch 50/179] [DLoss: 0.011, GLoss: 12.659, cGanLoss: 8.984, L1Loss: 0.037]
2938.5s 99 [Epoch 85/150: batch 60/179] [DLoss: 0.084, GLoss: 13.918, cGanLoss: 10.247, L1Loss: 0.037]
2969.7s 100 [Epoch 85/150: batch 70/179] [DLoss: 0.002, GLoss: 11.755, cGanLoss: 8.061, L1Loss: 0.037]
3000.2s 101 [Epoch 85/150: batch 80/179] [DLoss: 0.128, GLoss: 11.910, cGanLoss: 8.232, L1Loss: 0.037]
3030.7s 102 [Epoch 85/150: batch 90/179] [DLoss: 0.001, GLoss: 12.023, cGanLoss: 8.314, L1Loss: 0.037]
3061.1s 103 [Epoch 85/150: batch 100/179] [DLoss: 0.005, GLoss: 13.354, cGanLoss: 9.757, L1Loss: 0.036]
3091.6s 104 [Epoch 85/150: batch 110/179] [DLoss: 0.004, GLoss: 13.568, cGanLoss: 9.771, L1Loss: 0.038]
3122.1s 105 [Epoch 85/150: batch 120/179] [DLoss: 0.474, GLoss: 11.365, cGanLoss: 7.799, L1Loss: 0.036]
3152.5s 106 [Epoch 85/150: batch 130/179] [DLoss: 0.033, GLoss: 10.430, cGanLoss: 6.860, L1Loss: 0.036]
3183.0s 107 [Epoch 85/150: batch 140/179] [DLoss: 0.000, GLoss: 14.877, cGanLoss: 11.131, L1Loss: 0.037]
3214.1s 108 [Epoch 85/150: batch 150/179] [DLoss: 0.013, GLoss: 10.884, cGanLoss: 7.066, L1Loss: 0.038]
3244.6s 109 [Epoch 85/150: batch 160/179] [DLoss: 0.021, GLoss: 12.510, cGanLoss: 8.755, L1Loss: 0.038]
3275.1s 110 [Epoch 85/150: batch 170/179] [DLoss: 0.002, GLoss: 12.045, cGanLoss: 7.988, L1Loss: 0.041]
3302.7s 111 [Epoch 86/150: batch 0/179] [DLoss: 0.010, GLoss: 11.749, cGanLoss: 7.994, L1Loss: 0.038]
3333.2s 112 [Epoch 86/150: batch 10/179] [DLoss: 0.003, GLoss: 12.575, cGanLoss: 9.085, L1Loss: 0.035]
3363.8s 113 [Epoch 86/150: batch 20/179] [DLoss: 0.001, GLoss: 13.447, cGanLoss: 9.861, L1Loss: 0.036]
3394.3s 114 [Epoch 86/150: batch 30/179] [DLoss: 0.001, GLoss: 12.266, cGanLoss: 8.650, L1Loss: 0.036]
3424.9s 115 [Epoch 86/150: batch 40/179] [DLoss: 0.023, GLoss: 11.849, cGanLoss: 8.027, L1Loss: 0.038]
3455.9s 116 [Epoch 86/150: batch 50/179] [DLoss: 2.553, GLoss: 11.268, cGanLoss: 7.435, L1Loss: 0.038]
3486.4s 117 [Epoch 86/150: batch 60/179] [DLoss: 0.085, GLoss: 9.867, cGanLoss: 6.162, L1Loss: 0.037]
3517.0s 118 [Epoch 86/150: batch 70/179] [DLoss: 0.146, GLoss: 11.476, cGanLoss: 7.818, L1Loss: 0.037]
3547.6s 119 [Epoch 86/150: batch 80/179] [DLoss: 0.019, GLoss: 14.159, cGanLoss: 10.475, L1Loss: 0.037]
3578.1s 120 [Epoch 86/150: batch 90/179] [DLoss: 0.013, GLoss: 11.415, cGanLoss: 7.650, L1Loss: 0.038]
3608.6s 121 [Epoch 86/150: batch 100/179] [DLoss: 0.090, GLoss: 12.870, cGanLoss: 9.226, L1Loss: 0.036]
3639.0s 122 [Epoch 86/150: batch 110/179] [DLoss: 0.032, GLoss: 7.642, cGanLoss: 4.108, L1Loss: 0.035]
3669.5s 123 [Epoch 86/150: batch 120/179] [DLoss: 0.004, GLoss: 10.110, cGanLoss: 6.395, L1Loss: 0.037]
3700.5s 124 [Epoch 86/150: batch 130/179] [DLoss: 0.020, GLoss: 8.627, cGanLoss: 5.198, L1Loss: 0.034]
3731.0s 125 [Epoch 86/150: batch 140/179] [DLoss: 0.002, GLoss: 10.769, cGanLoss: 7.059, L1Loss: 0.037]
3761.6s 126 [Epoch 86/150: batch 150/179] [DLoss: 0.007, GLoss: 10.510, cGanLoss: 6.899, L1Loss: 0.036]
3792.2s 127 [Epoch 86/150: batch 160/179] [DLoss: 0.038, GLoss: 14.774, cGanLoss: 11.377, L1Loss: 0.034]
3822.7s 128 [Epoch 86/150: batch 170/179] [DLoss: 0.021, GLoss: 13.537, cGanLoss: 9.596, L1Loss: 0.039]
3850.3s 129 [Epoch 87/150: batch 0/179] [DLoss: 0.004, GLoss: 13.667, cGanLoss: 9.874, L1Loss: 0.038]
3880.8s 130 [Epoch 87/150: batch 10/179] [DLoss: 0.199, GLoss: 12.447, cGanLoss: 8.820, L1Loss: 0.036]
3911.3s 131 [Epoch 87/150: batch 20/179] [DLoss: 0.001, GLoss: 13.162, cGanLoss: 9.420, L1Loss: 0.037]
3942.3s 132 [Epoch 87/150: batch 30/179] [DLoss: 0.240, GLoss: 12.081, cGanLoss: 8.516, L1Loss: 0.036]
